location,year,metrics,val,type,cause
Brazil,1990,Number,163714.8464,country,Environmental/occupational risks
Brazil,1990,Percent,0.186947258,country,Environmental/occupational risks
Brazil,1991,Number,158077.37,country,Environmental/occupational risks
Brazil,1991,Percent,0.181154138,country,Environmental/occupational risks
Brazil,1992,Number,157109.1718,country,Environmental/occupational risks
Brazil,1992,Percent,0.17721308,country,Environmental/occupational risks
Brazil,1993,Number,159571.1106,country,Environmental/occupational risks
Brazil,1993,Percent,0.17384701,country,Environmental/occupational risks
Brazil,1994,Number,155916.1537,country,Environmental/occupational risks
Brazil,1994,Percent,0.167936371,country,Environmental/occupational risks
Brazil,1995,Number,153132.069,country,Environmental/occupational risks
Brazil,1995,Percent,0.162520476,country,Environmental/occupational risks
Brazil,1996,Number,151586.7431,country,Environmental/occupational risks
Brazil,1996,Percent,0.158609232,country,Environmental/occupational risks
Brazil,1997,Number,147269.4059,country,Environmental/occupational risks
Brazil,1997,Percent,0.153877204,country,Environmental/occupational risks
Brazil,1998,Number,149136.8835,country,Environmental/occupational risks
Brazil,1998,Percent,0.153323267,country,Environmental/occupational risks
Brazil,1999,Number,147090.0942,country,Environmental/occupational risks
Brazil,1999,Percent,0.149314292,country,Environmental/occupational risks
Brazil,2000,Number,143391.8032,country,Environmental/occupational risks
Brazil,2000,Percent,0.144406697,country,Environmental/occupational risks
Brazil,2001,Number,142237.796,country,Environmental/occupational risks
Brazil,2001,Percent,0.140997278,country,Environmental/occupational risks
Brazil,2002,Number,142249.4722,country,Environmental/occupational risks
Brazil,2002,Percent,0.138517382,country,Environmental/occupational risks
Brazil,2003,Number,144706.7988,country,Environmental/occupational risks
Brazil,2003,Percent,0.138280907,country,Environmental/occupational risks
Brazil,2004,Number,145318.8715,country,Environmental/occupational risks
Brazil,2004,Percent,0.136527963,country,Environmental/occupational risks
Brazil,2005,Number,141352.4994,country,Environmental/occupational risks
Brazil,2005,Percent,0.133363753,country,Environmental/occupational risks
Brazil,2006,Number,142428.5492,country,Environmental/occupational risks
Brazil,2006,Percent,0.131983075,country,Environmental/occupational risks
Brazil,2007,Number,141828.3377,country,Environmental/occupational risks
Brazil,2007,Percent,0.129104068,country,Environmental/occupational risks
Brazil,2008,Number,142421.74,country,Environmental/occupational risks
Brazil,2008,Percent,0.12690504,country,Environmental/occupational risks
Brazil,2009,Number,142939.6146,country,Environmental/occupational risks
Brazil,2009,Percent,0.124107736,country,Environmental/occupational risks
Brazil,2010,Number,144908.707,country,Environmental/occupational risks
Brazil,2010,Percent,0.122889684,country,Environmental/occupational risks
Brazil,2011,Number,143507.4837,country,Environmental/occupational risks
Brazil,2011,Percent,0.118779222,country,Environmental/occupational risks
Brazil,2012,Number,140217.6466,country,Environmental/occupational risks
Brazil,2012,Percent,0.114916555,country,Environmental/occupational risks
Brazil,2013,Number,139030.6479,country,Environmental/occupational risks
Brazil,2013,Percent,0.111948128,country,Environmental/occupational risks
Brazil,2014,Number,134392.6038,country,Environmental/occupational risks
Brazil,2014,Percent,0.106645972,country,Environmental/occupational risks
Brazil,2015,Number,135396.7148,country,Environmental/occupational risks
Brazil,2015,Percent,0.105089441,country,Environmental/occupational risks
Brazil,2016,Number,140694.5607,country,Environmental/occupational risks
Brazil,2016,Percent,0.105520877,country,Environmental/occupational risks
Brazil,2017,Number,137415.4485,country,Environmental/occupational risks
Brazil,2017,Percent,0.103099202,country,Environmental/occupational risks
Brazil,2018,Number,137075.2405,country,Environmental/occupational risks
Brazil,2018,Percent,0.101972706,country,Environmental/occupational risks
Brazil,2019,Number,139196.9464,country,Environmental/occupational risks
Brazil,2019,Percent,0.101641106,country,Environmental/occupational risks
Brazil,2020,Number,139255.6181,country,Environmental/occupational risks
Brazil,2020,Percent,0.087758342,country,Environmental/occupational risks
Brazil,2021,Number,138800.1989,country,Environmental/occupational risks
Brazil,2021,Percent,0.0772443,country,Environmental/occupational risks
China,1990,Number,2981663.395,country,Environmental/occupational risks
China,1990,Percent,0.352057833,country,Environmental/occupational risks
China,1991,Number,3016116.277,country,Environmental/occupational risks
China,1991,Percent,0.352905831,country,Environmental/occupational risks
China,1992,Number,3037773.04,country,Environmental/occupational risks
China,1992,Percent,0.354167825,country,Environmental/occupational risks
China,1993,Number,3045843.506,country,Environmental/occupational risks
China,1993,Percent,0.354677127,country,Environmental/occupational risks
China,1994,Number,3060106.74,country,Environmental/occupational risks
China,1994,Percent,0.356186497,country,Environmental/occupational risks
China,1995,Number,3075572.671,country,Environmental/occupational risks
China,1995,Percent,0.35773739,country,Environmental/occupational risks
China,1996,Number,3070085.374,country,Environmental/occupational risks
China,1996,Percent,0.358408236,country,Environmental/occupational risks
China,1997,Number,3058678.591,country,Environmental/occupational risks
China,1997,Percent,0.358589466,country,Environmental/occupational risks
China,1998,Number,3066048.634,country,Environmental/occupational risks
China,1998,Percent,0.357410212,country,Environmental/occupational risks
China,1999,Number,3101687.842,country,Environmental/occupational risks
China,1999,Percent,0.357645375,country,Environmental/occupational risks
China,2000,Number,3183930.148,country,Environmental/occupational risks
China,2000,Percent,0.357875535,country,Environmental/occupational risks
China,2001,Number,3228040.468,country,Environmental/occupational risks
China,2001,Percent,0.356781836,country,Environmental/occupational risks
China,2002,Number,3241099.175,country,Environmental/occupational risks
China,2002,Percent,0.354194981,country,Environmental/occupational risks
China,2003,Number,3307501.48,country,Environmental/occupational risks
China,2003,Percent,0.353025633,country,Environmental/occupational risks
China,2004,Number,3353227.0,country,Environmental/occupational risks
China,2004,Percent,0.349836527,country,Environmental/occupational risks
China,2005,Number,3318265.681,country,Environmental/occupational risks
China,2005,Percent,0.347678282,country,Environmental/occupational risks
China,2006,Number,3127618.832,country,Environmental/occupational risks
China,2006,Percent,0.341318416,country,Environmental/occupational risks
China,2007,Number,3074509.094,country,Environmental/occupational risks
China,2007,Percent,0.337246849,country,Environmental/occupational risks
China,2008,Number,3101507.991,country,Environmental/occupational risks
China,2008,Percent,0.329975048,country,Environmental/occupational risks
China,2009,Number,3167057.94,country,Environmental/occupational risks
China,2009,Percent,0.332081665,country,Environmental/occupational risks
China,2010,Number,3230838.814,country,Environmental/occupational risks
China,2010,Percent,0.33210361,country,Environmental/occupational risks
China,2011,Number,3241530.217,country,Environmental/occupational risks
China,2011,Percent,0.330647785,country,Environmental/occupational risks
China,2012,Number,3213271.541,country,Environmental/occupational risks
China,2012,Percent,0.327605033,country,Environmental/occupational risks
China,2013,Number,3232503.45,country,Environmental/occupational risks
China,2013,Percent,0.325963875,country,Environmental/occupational risks
China,2014,Number,3219908.659,country,Environmental/occupational risks
China,2014,Percent,0.321529813,country,Environmental/occupational risks
China,2015,Number,3218489.067,country,Environmental/occupational risks
China,2015,Percent,0.317700792,country,Environmental/occupational risks
China,2016,Number,3258551.105,country,Environmental/occupational risks
China,2016,Percent,0.31347316,country,Environmental/occupational risks
China,2017,Number,3241569.826,country,Environmental/occupational risks
China,2017,Percent,0.30606271,country,Environmental/occupational risks
China,2018,Number,3190533.109,country,Environmental/occupational risks
China,2018,Percent,0.295411961,country,Environmental/occupational risks
China,2019,Number,3173491.981,country,Environmental/occupational risks
China,2019,Percent,0.286481923,country,Environmental/occupational risks
China,2020,Number,3167613.482,country,Environmental/occupational risks
China,2020,Percent,0.27714747,country,Environmental/occupational risks
China,2021,Number,3361725.597,country,Environmental/occupational risks
China,2021,Percent,0.287335061,country,Environmental/occupational risks
Egypt,1990,Number,135609.0635,country,Environmental/occupational risks
Egypt,1990,Percent,0.291078103,country,Environmental/occupational risks
Egypt,1991,Number,132540.514,country,Environmental/occupational risks
Egypt,1991,Percent,0.293050574,country,Environmental/occupational risks
Egypt,1992,Number,128945.2084,country,Environmental/occupational risks
Egypt,1992,Percent,0.29516999,country,Environmental/occupational risks
Egypt,1993,Number,127796.8568,country,Environmental/occupational risks
Egypt,1993,Percent,0.293938047,country,Environmental/occupational risks
Egypt,1994,Number,126803.0566,country,Environmental/occupational risks
Egypt,1994,Percent,0.293007625,country,Environmental/occupational risks
Egypt,1995,Number,124252.7365,country,Environmental/occupational risks
Egypt,1995,Percent,0.294070861,country,Environmental/occupational risks
Egypt,1996,Number,120441.5376,country,Environmental/occupational risks
Egypt,1996,Percent,0.289769206,country,Environmental/occupational risks
Egypt,1997,Number,120673.8355,country,Environmental/occupational risks
Egypt,1997,Percent,0.288567474,country,Environmental/occupational risks
Egypt,1998,Number,121039.7678,country,Environmental/occupational risks
Egypt,1998,Percent,0.288584274,country,Environmental/occupational risks
Egypt,1999,Number,119593.5988,country,Environmental/occupational risks
Egypt,1999,Percent,0.28420796,country,Environmental/occupational risks
Egypt,2000,Number,116799.7956,country,Environmental/occupational risks
Egypt,2000,Percent,0.283205491,country,Environmental/occupational risks
Egypt,2001,Number,122287.2631,country,Environmental/occupational risks
Egypt,2001,Percent,0.284613566,country,Environmental/occupational risks
Egypt,2002,Number,126994.473,country,Environmental/occupational risks
Egypt,2002,Percent,0.286870292,country,Environmental/occupational risks
Egypt,2003,Number,130609.2966,country,Environmental/occupational risks
Egypt,2003,Percent,0.287490915,country,Environmental/occupational risks
Egypt,2004,Number,129434.506,country,Environmental/occupational risks
Egypt,2004,Percent,0.284650295,country,Environmental/occupational risks
Egypt,2005,Number,130001.9146,country,Environmental/occupational risks
Egypt,2005,Percent,0.285474498,country,Environmental/occupational risks
Egypt,2006,Number,133827.6684,country,Environmental/occupational risks
Egypt,2006,Percent,0.286966813,country,Environmental/occupational risks
Egypt,2007,Number,136309.4541,country,Environmental/occupational risks
Egypt,2007,Percent,0.289571265,country,Environmental/occupational risks
Egypt,2008,Number,142613.8158,country,Environmental/occupational risks
Egypt,2008,Percent,0.294098717,country,Environmental/occupational risks
Egypt,2009,Number,148939.0209,country,Environmental/occupational risks
Egypt,2009,Percent,0.296251348,country,Environmental/occupational risks
Egypt,2010,Number,152715.6294,country,Environmental/occupational risks
Egypt,2010,Percent,0.297275211,country,Environmental/occupational risks
Egypt,2011,Number,154401.6977,country,Environmental/occupational risks
Egypt,2011,Percent,0.296113565,country,Environmental/occupational risks
Egypt,2012,Number,159725.6713,country,Environmental/occupational risks
Egypt,2012,Percent,0.298571408,country,Environmental/occupational risks
Egypt,2013,Number,157215.4475,country,Environmental/occupational risks
Egypt,2013,Percent,0.292475479,country,Environmental/occupational risks
Egypt,2014,Number,161081.7044,country,Environmental/occupational risks
Egypt,2014,Percent,0.294909235,country,Environmental/occupational risks
Egypt,2015,Number,168605.3387,country,Environmental/occupational risks
Egypt,2015,Percent,0.298976193,country,Environmental/occupational risks
Egypt,2016,Number,163019.844,country,Environmental/occupational risks
Egypt,2016,Percent,0.29605354,country,Environmental/occupational risks
Egypt,2017,Number,159778.5054,country,Environmental/occupational risks
Egypt,2017,Percent,0.296708842,country,Environmental/occupational risks
Egypt,2018,Number,162799.0001,country,Environmental/occupational risks
Egypt,2018,Percent,0.297779663,country,Environmental/occupational risks
Egypt,2019,Number,166533.4938,country,Environmental/occupational risks
Egypt,2019,Percent,0.301705958,country,Environmental/occupational risks
Egypt,2020,Number,159777.1116,country,Environmental/occupational risks
Egypt,2020,Percent,0.247495163,country,Environmental/occupational risks
Egypt,2021,Number,167538.0624,country,Environmental/occupational risks
Egypt,2021,Percent,0.235460503,country,Environmental/occupational risks
Ethiopia,1990,Number,223757.7307,country,Environmental/occupational risks
Ethiopia,1990,Percent,0.24282032,country,Environmental/occupational risks
Ethiopia,1991,Number,227069.5719,country,Environmental/occupational risks
Ethiopia,1991,Percent,0.252568016,country,Environmental/occupational risks
Ethiopia,1992,Number,232299.0649,country,Environmental/occupational risks
Ethiopia,1992,Percent,0.256481205,country,Environmental/occupational risks
Ethiopia,1993,Number,234666.687,country,Environmental/occupational risks
Ethiopia,1993,Percent,0.256182987,country,Environmental/occupational risks
Ethiopia,1994,Number,235578.4377,country,Environmental/occupational risks
Ethiopia,1994,Percent,0.25499875,country,Environmental/occupational risks
Ethiopia,1995,Number,234936.2973,country,Environmental/occupational risks
Ethiopia,1995,Percent,0.252828773,country,Environmental/occupational risks
Ethiopia,1996,Number,232538.5235,country,Environmental/occupational risks
Ethiopia,1996,Percent,0.251547916,country,Environmental/occupational risks
Ethiopia,1997,Number,229114.2533,country,Environmental/occupational risks
Ethiopia,1997,Percent,0.249403541,country,Environmental/occupational risks
Ethiopia,1998,Number,225447.1439,country,Environmental/occupational risks
Ethiopia,1998,Percent,0.247171306,country,Environmental/occupational risks
Ethiopia,1999,Number,220953.1255,country,Environmental/occupational risks
Ethiopia,1999,Percent,0.23751643,country,Environmental/occupational risks
Ethiopia,2000,Number,216184.5261,country,Environmental/occupational risks
Ethiopia,2000,Percent,0.231718254,country,Environmental/occupational risks
Ethiopia,2001,Number,209838.5476,country,Environmental/occupational risks
Ethiopia,2001,Percent,0.243125931,country,Environmental/occupational risks
Ethiopia,2002,Number,202632.2687,country,Environmental/occupational risks
Ethiopia,2002,Percent,0.240876959,country,Environmental/occupational risks
Ethiopia,2003,Number,195449.4867,country,Environmental/occupational risks
Ethiopia,2003,Percent,0.237937529,country,Environmental/occupational risks
Ethiopia,2004,Number,188224.9161,country,Environmental/occupational risks
Ethiopia,2004,Percent,0.236087721,country,Environmental/occupational risks
Ethiopia,2005,Number,183231.253,country,Environmental/occupational risks
Ethiopia,2005,Percent,0.238978416,country,Environmental/occupational risks
Ethiopia,2006,Number,177501.313,country,Environmental/occupational risks
Ethiopia,2006,Percent,0.241102031,country,Environmental/occupational risks
Ethiopia,2007,Number,172269.8398,country,Environmental/occupational risks
Ethiopia,2007,Percent,0.24565623,country,Environmental/occupational risks
Ethiopia,2008,Number,166502.8814,country,Environmental/occupational risks
Ethiopia,2008,Percent,0.248020132,country,Environmental/occupational risks
Ethiopia,2009,Number,160411.8193,country,Environmental/occupational risks
Ethiopia,2009,Percent,0.248197218,country,Environmental/occupational risks
Ethiopia,2010,Number,153891.7118,country,Environmental/occupational risks
Ethiopia,2010,Percent,0.247191974,country,Environmental/occupational risks
Ethiopia,2011,Number,150608.6214,country,Environmental/occupational risks
Ethiopia,2011,Percent,0.249469002,country,Environmental/occupational risks
Ethiopia,2012,Number,146730.2898,country,Environmental/occupational risks
Ethiopia,2012,Percent,0.248360136,country,Environmental/occupational risks
Ethiopia,2013,Number,143566.2131,country,Environmental/occupational risks
Ethiopia,2013,Percent,0.247162863,country,Environmental/occupational risks
Ethiopia,2014,Number,142584.6536,country,Environmental/occupational risks
Ethiopia,2014,Percent,0.249014716,country,Environmental/occupational risks
Ethiopia,2015,Number,140547.9881,country,Environmental/occupational risks
Ethiopia,2015,Percent,0.247295298,country,Environmental/occupational risks
Ethiopia,2016,Number,139544.1456,country,Environmental/occupational risks
Ethiopia,2016,Percent,0.245954643,country,Environmental/occupational risks
Ethiopia,2017,Number,140147.2791,country,Environmental/occupational risks
Ethiopia,2017,Percent,0.248190084,country,Environmental/occupational risks
Ethiopia,2018,Number,140179.5485,country,Environmental/occupational risks
Ethiopia,2018,Percent,0.248378715,country,Environmental/occupational risks
Ethiopia,2019,Number,139601.6902,country,Environmental/occupational risks
Ethiopia,2019,Percent,0.247405038,country,Environmental/occupational risks
Ethiopia,2020,Number,135770.7557,country,Environmental/occupational risks
Ethiopia,2020,Percent,0.210713585,country,Environmental/occupational risks
Ethiopia,2021,Number,135564.3286,country,Environmental/occupational risks
Ethiopia,2021,Percent,0.183984603,country,Environmental/occupational risks
India,1990,Number,2835400.24,country,Environmental/occupational risks
India,1990,Percent,0.36231722,country,Environmental/occupational risks
India,1991,Number,2871643.927,country,Environmental/occupational risks
India,1991,Percent,0.364467392,country,Environmental/occupational risks
India,1992,Number,2923117.911,country,Environmental/occupational risks
India,1992,Percent,0.365267242,country,Environmental/occupational risks
India,1993,Number,2911762.764,country,Environmental/occupational risks
India,1993,Percent,0.364344732,country,Environmental/occupational risks
India,1994,Number,2928064.155,country,Environmental/occupational risks
India,1994,Percent,0.363770093,country,Environmental/occupational risks
India,1995,Number,2982369.741,country,Environmental/occupational risks
India,1995,Percent,0.364711996,country,Environmental/occupational risks
India,1996,Number,2967783.019,country,Environmental/occupational risks
India,1996,Percent,0.361582523,country,Environmental/occupational risks
India,1997,Number,2956697.294,country,Environmental/occupational risks
India,1997,Percent,0.358475523,country,Environmental/occupational risks
India,1998,Number,2979893.653,country,Environmental/occupational risks
India,1998,Percent,0.357156581,country,Environmental/occupational risks
India,1999,Number,2881712.443,country,Environmental/occupational risks
India,1999,Percent,0.351841974,country,Environmental/occupational risks
India,2000,Number,2834355.582,country,Environmental/occupational risks
India,2000,Percent,0.347873444,country,Environmental/occupational risks
India,2001,Number,2834228.582,country,Environmental/occupational risks
India,2001,Percent,0.345669341,country,Environmental/occupational risks
India,2002,Number,2857000.536,country,Environmental/occupational risks
India,2002,Percent,0.348801969,country,Environmental/occupational risks
India,2003,Number,2900395.818,country,Environmental/occupational risks
India,2003,Percent,0.351158114,country,Environmental/occupational risks
India,2004,Number,2911764.664,country,Environmental/occupational risks
India,2004,Percent,0.34951635,country,Environmental/occupational risks
India,2005,Number,2924762.065,country,Environmental/occupational risks
India,2005,Percent,0.348675269,country,Environmental/occupational risks
India,2006,Number,2957322.639,country,Environmental/occupational risks
India,2006,Percent,0.347865784,country,Environmental/occupational risks
India,2007,Number,3048827.168,country,Environmental/occupational risks
India,2007,Percent,0.350435258,country,Environmental/occupational risks
India,2008,Number,3069056.302,country,Environmental/occupational risks
India,2008,Percent,0.34807758,country,Environmental/occupational risks
India,2009,Number,3044767.111,country,Environmental/occupational risks
India,2009,Percent,0.348475997,country,Environmental/occupational risks
India,2010,Number,3074078.717,country,Environmental/occupational risks
India,2010,Percent,0.349558011,country,Environmental/occupational risks
India,2011,Number,3098001.15,country,Environmental/occupational risks
India,2011,Percent,0.347567493,country,Environmental/occupational risks
India,2012,Number,3165032.508,country,Environmental/occupational risks
India,2012,Percent,0.351317286,country,Environmental/occupational risks
India,2013,Number,3239113.55,country,Environmental/occupational risks
India,2013,Percent,0.351630564,country,Environmental/occupational risks
India,2014,Number,3303597.23,country,Environmental/occupational risks
India,2014,Percent,0.354999669,country,Environmental/occupational risks
India,2015,Number,3229114.854,country,Environmental/occupational risks
India,2015,Percent,0.349612716,country,Environmental/occupational risks
India,2016,Number,3198589.937,country,Environmental/occupational risks
India,2016,Percent,0.347407083,country,Environmental/occupational risks
India,2017,Number,3202451.397,country,Environmental/occupational risks
India,2017,Percent,0.343434487,country,Environmental/occupational risks
India,2018,Number,3227496.774,country,Environmental/occupational risks
India,2018,Percent,0.341213101,country,Environmental/occupational risks
India,2019,Number,3237240.768,country,Environmental/occupational risks
India,2019,Percent,0.33961184,country,Environmental/occupational risks
India,2020,Number,3095599.412,country,Environmental/occupational risks
India,2020,Percent,0.290208316,country,Environmental/occupational risks
India,2021,Number,3135839.172,country,Environmental/occupational risks
India,2021,Percent,0.266935239,country,Environmental/occupational risks
Indonesia,1990,Number,449661.7314,country,Environmental/occupational risks
Indonesia,1990,Percent,0.328600539,country,Environmental/occupational risks
Indonesia,1991,Number,436236.2418,country,Environmental/occupational risks
Indonesia,1991,Percent,0.320307629,country,Environmental/occupational risks
Indonesia,1992,Number,424972.3212,country,Environmental/occupational risks
Indonesia,1992,Percent,0.312533234,country,Environmental/occupational risks
Indonesia,1993,Number,415870.9626,country,Environmental/occupational risks
Indonesia,1993,Percent,0.305909615,country,Environmental/occupational risks
Indonesia,1994,Number,406365.517,country,Environmental/occupational risks
Indonesia,1994,Percent,0.298833125,country,Environmental/occupational risks
Indonesia,1995,Number,396696.6862,country,Environmental/occupational risks
Indonesia,1995,Percent,0.291618849,country,Environmental/occupational risks
Indonesia,1996,Number,388657.8719,country,Environmental/occupational risks
Indonesia,1996,Percent,0.284936996,country,Environmental/occupational risks
Indonesia,1997,Number,384385.4735,country,Environmental/occupational risks
Indonesia,1997,Percent,0.279077924,country,Environmental/occupational risks
Indonesia,1998,Number,382741.7673,country,Environmental/occupational risks
Indonesia,1998,Percent,0.273914396,country,Environmental/occupational risks
Indonesia,1999,Number,382323.5175,country,Environmental/occupational risks
Indonesia,1999,Percent,0.269453626,country,Environmental/occupational risks
Indonesia,2000,Number,382069.4356,country,Environmental/occupational risks
Indonesia,2000,Percent,0.266395017,country,Environmental/occupational risks
